,Structure,Abbreviation,Relative_Diff FA wrt nTG,SEM --Yuqi Form how each FAD varies from mean nTG,SEM --KH Form indiv2indiv
1,BLA__Basolateral_amygdala_left,BLA,-0.11105133806874852,0.028149330560018847,0.0169327194080737
2,VCP__Visual_cortex_primary_left,VCP,-0.016774781622297064,0.026601650923605336,0.010338291626612837
3,VCS__Visual_cortex_secondary_(extrastriate)_left,VCS,-0.0021746154729183134,0.03745397856316468,0.01358924068537153
4,AON__Anterior_olfactory_nucleus_left,AON,-0.05156463983951911,0.03959932580683626,0.01831110154044819
5,PIC__Piriform_cortex_left,PIC,-0.05143069023210108,0.025314621159646115,0.008390178689685373
6,CA3__CA3_of_hippocampus_left,CA3,-0.0027196595769265587,0.02662112968703485,0.011698438979182414
7,EPF__Endopiriform_nucleus_left,EPF,-0.10371818875780975,0.02742081399966463,0.011123295578654177
8,SUB__Subiculum_left,SUB,-0.03659924770411349,0.025717498407598526,0.007631027178284252
9,ACC__Anterior_cingulate_cortex_left,ACC,-0.125473063061297,0.014827895586906588,0.008786363524228805
10,CA1__CA1_of_hippocampus_left,CA1,-0.01997738999562843,0.03661387133978604,0.0068340752057200185
11,NAC__Nucleus_accumbens_left,NAC,-0.09723845059628941,0.021369374265748097,0.012020675768458939
12,LSN__Lateral_septal_nucleus_left,LSN,-0.10939860885974015,0.02223835153639665,0.009313009063091904
13,SUT__Subthalamic_nucleus_left,SUT,-0.1179177145698904,0.029317824483745657,0.005539900647153762
14,FMN__Facial_motor_nucleus_left,FMN,-0.04865387259083588,0.018396878567977584,0.008201351477627884
15,HGN__Hypoglossal_nucleus_left,HGN,-0.17891325664842953,0.018541359839547616,0.009352272791595128
16,PFT__Parafascicular_thalamic_nucleus_left,PFT,-0.017220203861377594,0.02516653733759354,0.006771840943293687
17,MGD__Medial_geniculate_nucleus_dorsal_left,MGD,0.02335425752736456,0.03127222529340808,0.006164556419424864
18,RED__Red_nucleus_left,RED,-0.027559336938634653,0.022206357504977094,0.0060435916716746
19,AVT__Anteroventral_thalamic_nucleus_left,AVT,0.011378103559122332,0.028935607988554574,0.00698472269587963
20,POT__Posterior_nucleus_of_the_thalamus_left,POT,-0.0060684962735966935,0.02674598306661485,0.0062958872143906745
21,cst__corticospinal_tract_left,cst,-0.11016882443147225,0.02295769404612387,0.005316003423664822
22,mel__medial_lemniscus_left,mel,-0.10504465905928288,0.0221582813894657,0.008421270725105904
